idx,stop,node_idx,arrival
0,0,0,0
0,1,40,13.0
0,2,9,13.477407569830365
0,3,46,13.942708059783758
0,4,0,24
1,0,0,0
1,1,11,7.0
1,2,13,8.129409278562022
1,3,32,13.720957097678557
1,4,36,14.0
1,5,0,24
2,0,0,0
2,1,23,10.0
2,2,17,12.0
2,3,45,13.575801068080125
2,4,0,24
6,0,0,0
6,1,50,10.860518862438116
6,2,28,11.0
6,3,0,24
8,0,0,0
8,1,26,6.0
8,2,3,13.0
8,3,7,17.0
8,4,0,24
9,0,0,0
9,1,24,11.005694187753889
9,2,19,11.829330903814427
9,3,15,12.0
9,4,20,13.0
9,5,48,17.3431492875975
9,6,0,24
12,0,0,0
12,1,35,10.761579676263882
12,2,39,11.0
12,3,25,12.488789378558515
12,4,14,20.0
12,5,0,24
13,0,0,0
13,1,5,17.0
13,2,4,18.0
13,3,18,19.533033871523365
13,4,0,24
14,0,0,0
14,1,37,7.0
14,2,41,21.0
14,3,0,24
15,0,0,0
15,1,38,8.0
15,2,47,9.0
15,3,1,15.0
15,4,0,24
16,0,0,0
16,1,12,12.241844051741946
16,2,33,12.324069491507029
16,3,49,13.0
16,4,0,24
19,0,0,0
19,1,30,8.0
19,2,44,11.0
19,3,2,15.0
19,4,0,24
20,0,0,0
20,1,34,6.0
20,2,21,7.0
20,3,0,24
21,0,0,0
21,1,6,6.0
21,2,27,7.0
21,3,16,8.536901537893904
21,4,0,24
23,0,0,0
23,1,43,15.744937339798508
23,2,10,16.0
23,3,29,20.0
23,4,0,24
25,0,0,0
25,1,22,7.0
25,2,42,12.546421455313613
25,3,31,13.0
25,4,8,19.0
25,5,0,24
