idx,stop,node_idx,arrival
0,0,0,0
0,1,57,10.0
0,2,60,13.0
0,3,18,20.0
0,4,0,24
1,0,0,0
1,1,20,11.0
1,2,1,17.0
1,3,0,24
2,0,0,0
2,1,59,7.0
2,2,10,18.0
2,3,0,24
3,0,0,0
3,1,21,8.0
3,2,0,24
4,0,0,0
4,1,4,9.0
4,2,35,21.0
4,3,0,24
5,0,0,0
5,1,33,6.0
5,2,24,15.0
5,3,0,24
6,0,0,0
6,1,30,6.0
6,2,0,24
7,0,0,0
7,1,36,9.0
7,2,31,10.0
7,3,15,14.0
7,4,32,17.0
7,5,0,24
9,0,0,0
9,1,19,11.0
9,2,14,16.0
9,3,0,24
10,0,0,0
10,1,40,6.0
10,2,43,14.0
10,3,0,24
12,0,0,0
12,1,53,11.0
12,2,37,16.0
12,3,0,24
13,0,0,0
13,1,46,12.0
13,2,6,14.018549273828285
13,3,26,14.364850021432616
13,4,34,18.00560874241722
13,5,48,20.0
13,6,0,24
14,0,0,0
14,1,3,13.0
14,2,25,14.594467967964182
14,3,27,21.0
14,4,0,24
15,0,0,0
15,1,58,11.0
15,2,0,24
16,0,0,0
16,1,17,7.0
16,2,41,19.0
16,3,0,24
17,0,0,0
17,1,12,12.0
17,2,54,19.0
17,3,0,24
18,0,0,0
18,1,11,11.0
18,2,0,24
19,0,0,0
19,1,9,8.0
19,2,16,19.0
19,3,0,24
21,0,0,0
21,1,22,6.0
21,2,56,17.0
21,3,0,24
22,0,0,0
22,1,51,10.0
22,2,38,11.110740066695733
22,3,55,20.0
22,4,0,24
24,0,0,0
24,1,23,6.0
24,2,13,11.0
24,3,7,19.0
24,4,0,24
25,0,0,0
25,1,8,9.0
25,2,0,24
26,0,0,0
26,1,2,12.0
26,2,5,15.0
26,3,0,24
27,0,0,0
27,1,29,8.0
27,2,49,13.0
27,3,50,18.23268934962656
27,4,47,19.0
27,5,0,24
28,0,0,0
28,1,28,10.0
28,2,42,17.0
28,3,0,24
29,0,0,0
29,1,52,8.0
29,2,45,16.0
29,3,0,24
30,0,0,0
30,1,39,10.0
30,2,44,18.0
30,3,0,24
