idx,stop,node_idx,arrival
62,0,0,0
62,1,6,13.465935669582148
62,2,2,14.13814836965011
62,3,33,14.726275917919619
62,4,20,16.0
62,5,0,24
95,0,0,0
95,1,34,12.0
95,2,4,12.736600761284969
95,3,12,13.051066868917218
95,4,0,24
102,0,0,0
102,1,36,7.0
102,2,13,10.0
102,3,30,19.0
102,4,0,24
110,0,0,0
110,1,37,15.0
110,2,9,16.475958991602287
110,3,19,16.96174139145673
110,4,29,17.590051022738223
110,5,0,24
124,0,0,0
124,1,27,6.0
124,2,21,11.0
124,3,14,14.443978286625612
124,4,24,15.0
124,5,0,24
128,0,0,0
128,1,38,13.0
128,2,23,13.0992887963831
128,3,10,18.187727011808203
128,4,7,19.0
128,5,0,24
144,0,0,0
144,1,8,6.0
144,2,26,10.0
144,3,38,13.0
144,4,0,24
153,0,0,0
153,1,3,6.0
153,2,35,13.0
153,3,0,24
156,0,0,0
156,1,25,11.280875772789994
156,2,28,11.906408763072715
156,3,11,13.0
156,4,18,13.482075850715697
156,5,16,13.806025102269462
156,6,0,24
163,0,0,0
163,1,22,14.126532127437349
163,2,31,14.617341085941536
163,3,14,15.0
163,4,0,24
168,0,0,0
168,1,15,9.432554667380966
168,2,40,10.145496650934188
168,3,16,14.854503349065812
168,4,39,15.36232457160689
168,5,0,24
187,0,0,0
187,1,5,10.0
187,2,32,11.057878847884496
187,3,17,13.0
187,4,1,13.708208007413866
187,5,0,24
