idx,stop,node_idx,arrival
1,0,0,0
1,1,22,10.0
1,2,1,13.0
1,3,15,15.466677227290987
1,4,12,16.0
1,5,0,24
3,0,0,0
3,1,21,16.0
3,2,8,16.41943701704753
3,3,6,16.59211693535258
3,4,18,16.82635691121463
3,5,0,24
4,0,0,0
4,1,10,8.941968165703464
4,2,19,16.30104668359101
4,3,4,19.457263541144115
4,4,0,24
5,0,0,0
5,1,7,12.0
5,2,24,12.607254777386878
5,3,13,14.643218225488322
5,4,11,15.0
5,5,0,24
7,0,0,0
7,1,2,9.0
7,2,5,13.0
7,3,20,16.0
7,4,0,24
10,0,0,0
10,1,17,10.0
10,2,3,10.672717393511771
10,3,9,14.0
10,4,0,24
11,0,0,0
11,1,14,8.0
11,2,25,13.872790439546492
11,3,16,15.0
11,4,23,19.717011415388313
11,5,0,24
