idx,stop,node_idx,arrival
9,0,0,0
9,1,10,9.0
9,2,0,24
14,0,0,0
14,1,15,13.0
14,2,0,24
24,0,0,0
24,1,25,6.0
24,2,0,24
42,0,0,0
42,1,26,12.730455219270485
42,2,13,13.657745312581127
42,3,7,15.0
42,4,2,16.51253443454119
42,5,0,24
49,0,0,0
49,1,30,13.175389433684341
49,2,17,14.384852736390584
49,3,21,18.419354885996594
49,4,20,19.0
49,5,0,24
51,0,0,0
51,1,22,9.0
51,2,20,11.0
51,3,28,13.0
51,4,0,24
65,0,0,0
65,1,11,11.0
65,2,5,13.0
65,3,16,13.614896630538968
65,4,0,24
69,0,0,0
69,1,18,6.732928518534852
69,2,9,10.0
69,3,3,10.333763893791502
69,4,0,24
70,0,0,0
70,1,18,6.0
70,2,8,8.0
70,3,4,10.814030404436437
70,4,0,24
74,0,0,0
74,1,12,10.0
74,2,27,11.233734807668476
74,3,19,12.809583297964412
74,4,26,13.672634302535915
74,5,6,14.950001249422854
74,6,0,24
78,0,0,0
78,1,20,11.0
78,2,1,12.0
78,3,14,12.087630731073869
78,4,29,14.921355396159711
78,5,0,24
82,0,0,0
82,1,24,7.0
82,2,23,7.391131398720596
82,3,0,24
