idx,stop,node_idx,arrival
0,0,0,0
0,1,1,11.0
0,2,0,24
3,0,0,0
3,1,4,9.0
3,2,0,24
5,0,0,0
5,1,6,6.0
5,2,0,24
6,0,0,0
6,1,7,6.0
6,2,0,24
7,0,0,0
7,1,8,6.0
7,2,0,24
8,0,0,0
8,1,9,6.0
8,2,0,24
11,0,0,0
11,1,12,6.0
11,2,0,24
12,0,0,0
12,1,13,11.0
12,2,0,24
14,0,0,0
14,1,15,11.0
14,2,0,24
16,0,0,0
16,1,17,13.0
16,2,0,24
18,0,0,0
18,1,19,11.0
18,2,0,24
20,0,0,0
20,1,21,9.0
20,2,0,24
22,0,0,0
22,1,23,6.0
22,2,0,24
23,0,0,0
23,1,24,10.0
23,2,0,24
24,0,0,0
24,1,25,6.0
24,2,0,24
25,0,0,0
25,1,26,8.0
25,2,0,24
27,0,0,0
27,1,28,10.0
27,2,0,24
28,0,0,0
28,1,29,6.0
28,2,0,24
29,0,0,0
29,1,30,8.0
29,2,0,24
30,0,0,0
30,1,31,10.0
30,2,0,24
32,0,0,0
32,1,33,7.0
32,2,0,24
33,0,0,0
33,1,34,10.0
33,2,0,24
34,0,0,0
34,1,35,10.0
34,2,0,24
35,0,0,0
35,1,36,6.0
35,2,0,24
38,0,0,0
38,1,39,11.0
38,2,0,24
39,0,0,0
39,1,40,12.0
39,2,0,24
40,0,0,0
40,1,41,10.0
40,2,0,24
41,0,0,0
41,1,42,9.0
41,2,0,24
43,0,0,0
43,1,44,7.0
43,2,0,24
44,0,0,0
44,1,45,11.0
44,2,0,24
46,0,0,0
46,1,47,13.0
46,2,0,24
48,0,0,0
48,1,49,9.0
48,2,0,24
49,0,0,0
49,1,50,10.0
49,2,0,24
52,0,0,0
52,1,53,7.0
52,2,0,24
53,0,0,0
53,1,54,13.0
53,2,0,24
54,0,0,0
54,1,55,11.0
54,2,0,24
57,0,0,0
57,1,58,12.0
57,2,0,24
60,0,0,0
60,1,61,7.0
60,2,0,24
61,0,0,0
61,1,62,8.0
61,2,0,24
62,0,0,0
62,1,63,8.0
62,2,0,24
64,0,0,0
64,1,65,12.0
64,2,0,24
66,0,0,0
66,1,67,12.0
66,2,0,24
68,0,0,0
68,1,69,13.0
68,2,0,24
69,0,0,0
69,1,70,13.0
69,2,0,24
70,0,0,0
70,1,71,13.0
70,2,0,24
74,0,0,0
74,1,75,12.0
74,2,0,24
76,0,0,0
76,1,77,7.0
76,2,0,24
77,0,0,0
77,1,78,12.0
77,2,0,24
78,0,0,0
78,1,79,10.0
78,2,0,24
79,0,0,0
79,1,80,12.0
79,2,0,24
82,0,0,0
82,1,20,6.0
82,2,59,12.0
82,3,0,24
84,0,0,0
84,1,38,6.0
84,2,3,10.0
84,3,18,11.933530837443776
84,4,74,13.337853510808827
84,5,68,14.896691062190357
84,6,0,24
87,0,0,0
87,1,16,8.0
87,2,72,11.0
87,3,46,11.274788812931668
87,4,52,12.553903595918523
87,5,51,13.771351090227046
87,6,32,15.157378624451752
87,7,0,24
91,0,0,0
91,1,56,9.0
91,2,11,9.571842147967065
91,3,5,9.9009773071408
91,4,22,10.793180028490838
91,5,27,11.725086862478864
91,6,0,24
93,0,0,0
93,1,66,6.0
93,2,14,10.0
93,3,57,11.0
93,4,11,11.512552034399956
93,5,0,24
95,0,0,0
95,1,76,6.0
95,2,43,7.82793319299882
95,3,73,15.801279606352121
95,4,51,17.525672074409922
95,5,14,18.0
95,6,0,24
97,0,0,0
97,1,48,6.0
97,2,2,9.0
97,3,51,10.0
97,4,0,24
99,0,0,0
99,1,37,9.0
99,2,10,11.0
99,3,60,13.345670506181918
99,4,64,13.959362067790746
99,5,0,24
