idx,stop,node_idx,arrival
8,0,0,0
8,1,9,6.0
8,2,0,24
15,0,0,0
15,1,16,7.0
15,2,0,24
27,0,0,0
27,1,28,11.0
27,2,0,24
36,0,0,0
36,1,37,7.0
36,2,0,24
40,0,0,0
40,1,41,13.0
40,2,0,24
42,0,0,0
42,1,43,11.0
42,2,0,24
65,0,0,0
65,1,50,6.0
65,2,40,13.0
65,3,20,14.034840673161
65,4,0,24
68,0,0,0
68,1,21,7.0
68,2,8,11.0
68,3,22,15.0
68,4,0,24
76,0,0,0
76,1,45,6.0
76,2,47,13.60204316781586
76,3,18,13.92077807044777
76,4,35,14.0
76,5,0,24
84,0,0,0
84,1,26,6.0
84,2,5,9.0
84,3,31,13.0
84,4,0,24
88,0,0,0
88,1,12,7.0
88,2,30,8.0
88,3,46,10.0
88,4,19,11.672900708545281
88,5,15,12.0
88,6,0,24
90,0,0,0
90,1,36,6.0
90,2,6,8.172213646317374
90,3,2,11.611693634970862
90,4,33,12.0
90,5,0,24
103,0,0,0
103,1,27,7.0
103,2,25,8.421626875429016
103,3,14,12.0
103,4,48,12.67482615417234
103,5,4,13.331676866574838
103,6,0,24
106,0,0,0
106,1,32,14.600928545439178
106,2,7,15.231120881233409
106,3,10,16.0
106,4,0,24
111,0,0,0
111,1,3,13.0
111,2,13,13.881138854598902
111,3,49,15.333871621995545
111,4,29,15.518593486285088
111,5,0,24
113,0,0,0
113,1,1,7.0
113,2,38,8.0
113,3,44,11.0
113,4,0,24
120,0,0,0
120,1,18,12.0
120,2,42,13.146064775898537
120,3,34,14.0
120,4,0,24
124,0,0,0
124,1,17,12.0
124,2,23,12.368927393778627
124,3,0,24
126,0,0,0
126,1,39,11.0
126,2,24,12.392077148803342
126,3,11,14.616290546382814
126,4,0,24
