idx,stop,node_idx,arrival
0,0,0,0
0,1,1,8.0
0,2,0,24
1,0,0,0
1,1,2,12.0
1,2,0,24
2,0,0,0
2,1,3,9.0
2,2,0,24
3,0,0,0
3,1,4,8.0
3,2,0,24
4,0,0,0
4,1,5,11.0
4,2,0,24
5,0,0,0
5,1,6,7.0
5,2,0,24
6,0,0,0
6,1,7,9.0
6,2,0,24
7,0,0,0
7,1,8,12.0
7,2,0,24
8,0,0,0
8,1,9,8.0
8,2,0,24
9,0,0,0
9,1,10,12.0
9,2,0,24
10,0,0,0
10,1,11,13.0
10,2,0,24
11,0,0,0
11,1,12,9.0
11,2,0,24
12,0,0,0
12,1,13,8.0
12,2,0,24
13,0,0,0
13,1,14,10.0
13,2,0,24
14,0,0,0
14,1,15,9.0
14,2,0,24
15,0,0,0
15,1,16,7.0
15,2,0,24
16,0,0,0
16,1,17,7.0
16,2,0,24
17,0,0,0
17,1,18,12.0
17,2,0,24
18,0,0,0
18,1,19,10.0
18,2,0,24
19,0,0,0
19,1,20,13.0
19,2,0,24
20,0,0,0
20,1,21,10.0
20,2,0,24
21,0,0,0
21,1,22,7.0
21,2,0,24
22,0,0,0
22,1,23,9.0
22,2,0,24
23,0,0,0
23,1,24,13.0
23,2,0,24
24,0,0,0
24,1,25,13.0
24,2,0,24
25,0,0,0
25,1,26,9.0
25,2,0,24
26,0,0,0
26,1,27,12.0
26,2,0,24
27,0,0,0
27,1,28,11.0
27,2,0,24
28,0,0,0
28,1,29,11.0
28,2,0,24
29,0,0,0
29,1,30,11.0
29,2,0,24
30,0,0,0
30,1,31,10.0
30,2,0,24
31,0,0,0
31,1,32,11.0
31,2,0,24
32,0,0,0
32,1,33,9.0
32,2,0,24
33,0,0,0
33,1,34,6.0
33,2,0,24
34,0,0,0
34,1,35,12.0
34,2,0,24
35,0,0,0
35,1,36,13.0
35,2,0,24
36,0,0,0
36,1,37,13.0
36,2,0,24
37,0,0,0
37,1,38,12.0
37,2,0,24
38,0,0,0
38,1,39,12.0
38,2,0,24
39,0,0,0
39,1,40,13.0
39,2,0,24
40,0,0,0
40,1,41,12.0
40,2,0,24
41,0,0,0
41,1,42,12.0
41,2,0,24
42,0,0,0
42,1,43,11.0
42,2,0,24
43,0,0,0
43,1,44,12.0
43,2,0,24
44,0,0,0
44,1,45,7.0
44,2,0,24
45,0,0,0
45,1,46,12.0
45,2,0,24
46,0,0,0
46,1,47,13.0
46,2,0,24
47,0,0,0
47,1,48,6.0
47,2,0,24
48,0,0,0
48,1,49,9.0
48,2,0,24
49,0,0,0
49,1,50,8.0
49,2,0,24
50,0,0,0
50,1,51,8.0
50,2,0,24
51,0,0,0
51,1,52,9.0
51,2,0,24
52,0,0,0
52,1,53,13.0
52,2,0,24
53,0,0,0
53,1,54,9.0
53,2,0,24
54,0,0,0
54,1,55,10.0
54,2,0,24
55,0,0,0
55,1,56,10.0
55,2,0,24
56,0,0,0
56,1,57,11.0
56,2,0,24
57,0,0,0
57,1,58,7.0
57,2,0,24
58,0,0,0
58,1,59,9.0
58,2,0,24
59,0,0,0
59,1,60,6.0
59,2,0,24
60,0,0,0
60,1,61,12.0
60,2,0,24
61,0,0,0
61,1,62,13.0
61,2,0,24
62,0,0,0
62,1,63,10.0
62,2,0,24
63,0,0,0
63,1,64,7.0
63,2,0,24
64,0,0,0
64,1,65,12.0
64,2,0,24
65,0,0,0
65,1,66,13.0
65,2,0,24
66,0,0,0
66,1,67,10.0
66,2,0,24
67,0,0,0
67,1,68,8.0
67,2,0,24
68,0,0,0
68,1,69,9.0
68,2,0,24
69,0,0,0
69,1,70,8.0
69,2,0,24
70,0,0,0
70,1,71,13.0
70,2,0,24
71,0,0,0
71,1,72,10.0
71,2,0,24
72,0,0,0
72,1,73,8.0
72,2,0,24
73,0,0,0
73,1,74,11.0
73,2,0,24
74,0,0,0
74,1,75,6.0
74,2,0,24
75,0,0,0
75,1,76,13.0
75,2,0,24
76,0,0,0
76,1,77,7.0
76,2,0,24
77,0,0,0
77,1,78,10.0
77,2,0,24
78,0,0,0
78,1,79,6.0
78,2,0,24
79,0,0,0
79,1,80,9.0
79,2,0,24
80,0,0,0
80,1,81,12.0
80,2,0,24
81,0,0,0
81,1,82,9.0
81,2,0,24
82,0,0,0
82,1,83,12.0
82,2,0,24
83,0,0,0
83,1,84,10.0
83,2,0,24
84,0,0,0
84,1,85,9.0
84,2,0,24
85,0,0,0
85,1,86,9.0
85,2,0,24
86,0,0,0
86,1,87,12.0
86,2,0,24
87,0,0,0
87,1,88,6.0
87,2,0,24
88,0,0,0
88,1,89,12.0
88,2,0,24
89,0,0,0
89,1,90,11.0
89,2,0,24
