idx,stop,node_idx,arrival
0,0,0,0
0,1,5,10.0
0,2,30,11.0
0,3,20,12.193647570361328
0,4,0,24
1,0,0,0
1,1,35,13.0
1,2,10,19.0
1,3,0,24
2,0,0,0
2,1,18,6.0
2,2,39,8.0
2,3,37,15.0
2,4,16,19.0
2,5,0,24
4,0,0,0
4,1,33,12.0
4,2,13,12.174630312712825
4,3,3,14.0
4,4,0,24
5,0,0,0
5,1,19,12.0
5,2,31,12.458455626085016
5,3,4,13.41450030432943
5,4,0,24
6,0,0,0
6,1,24,7.0
6,2,12,8.0
6,3,0,24
8,0,0,0
8,1,36,13.846020395588294
8,2,8,14.0
8,3,0,24
10,0,0,0
10,1,27,11.273556425573005
10,2,17,13.0
10,3,1,13.708208007413866
10,4,32,13.957801749946832
10,5,0,24
11,0,0,0
11,1,23,12.9007112036169
11,2,38,13.0
11,3,0,24
12,0,0,0
12,1,15,7.0
12,2,2,10.30042136878949
12,3,34,14.410363308933437
12,4,0,24
13,0,0,0
13,1,29,10.0
13,2,14,15.0
13,3,22,19.465564101728035
13,4,9,20.0
13,5,0,24
14,0,0,0
14,1,11,13.0
14,2,25,13.543137427917195
14,3,28,17.86937843793345
14,4,21,19.0
14,5,0,24
18,0,0,0
18,1,26,10.0
18,2,6,13.0
18,3,40,13.277480900546454
18,4,7,14.77331785212671
18,5,0,24
