idx,stop,node_idx,arrival
1,0,0,0
1,1,2,7.0
1,2,0,24
6,0,0,0
6,1,7,9.0
6,2,0,24
8,0,0,0
8,1,9,6.0
8,2,0,24
12,0,0,0
12,1,13,6.0
12,2,0,24
15,0,0,0
15,1,16,7.0
15,2,0,24
20,0,0,0
20,1,21,7.0
20,2,0,24
22,0,0,0
22,1,23,10.0
22,2,0,24
27,0,0,0
27,1,28,11.0
27,2,0,24
33,0,0,0
33,1,34,6.0
33,2,0,24
36,0,0,0
36,1,37,7.0
36,2,0,24
37,0,0,0
37,1,38,8.0
37,2,0,24
38,0,0,0
38,1,39,11.0
38,2,0,24
42,0,0,0
42,1,43,11.0
42,2,0,24
43,0,0,0
43,1,44,11.0
43,2,0,24
49,0,0,0
49,1,50,6.0
49,2,0,24
53,0,0,0
53,1,48,11.0
53,2,19,11.779425426805464
53,3,15,12.0
53,4,31,13.0
53,5,17,15.187582442840917
53,6,0,24
58,0,0,0
58,1,27,7.0
58,2,10,8.0
58,3,36,10.204016908735603
58,4,49,13.0
58,5,0,24
61,0,0,0
61,1,30,8.0
61,2,35,9.579263699733282
61,3,22,15.0
61,4,32,18.95596666219335
61,5,29,20.0
61,6,0,24
68,0,0,0
68,1,14,12.0
68,2,25,12.354526665878666
68,3,8,14.68084165093454
68,4,42,15.0
68,5,18,15.382293933970232
68,6,0,24
79,0,0,0
79,1,46,10.673440751540992
79,2,6,12.32508848354804
79,3,20,13.0
79,4,1,13.96225729832219
79,5,0,24
84,0,0,0
84,1,27,7.0
84,2,4,10.0
84,3,3,13.0
84,4,11,13.24887150073912
84,5,0,24
92,0,0,0
92,1,45,11.82514494873497
92,2,47,12.917959098973316
92,3,12,15.0
92,4,33,15.08222543976508
92,5,0,24
98,0,0,0
98,1,26,6.0
98,2,24,9.0
98,3,40,13.0
98,4,0,24
107,0,0,0
107,1,36,6.0
107,2,5,9.0
107,3,41,13.0
107,4,0,24
