idx,stop,node_idx,arrival
0,0,0,0
0,1,1,13.0
0,2,0,24
1,0,0,0
1,1,2,10.0
1,2,0,24
2,0,0,0
2,1,3,11.0
2,2,0,24
3,0,0,0
3,1,4,10.0
3,2,0,24
6,0,0,0
6,1,7,13.0
6,2,0,24
7,0,0,0
7,1,8,12.0
7,2,0,24
10,0,0,0
10,1,11,6.0
10,2,0,24
13,0,0,0
13,1,14,10.0
13,2,0,24
14,0,0,0
14,1,15,10.0
14,2,0,24
18,0,0,0
18,1,19,7.0
18,2,0,24
19,0,0,0
19,1,20,6.0
19,2,0,24
20,0,0,0
20,1,21,10.0
20,2,0,24
21,0,0,0
21,1,22,8.0
21,2,0,24
22,0,0,0
22,1,23,12.0
22,2,0,24
23,0,0,0
23,1,24,11.0
23,2,0,24
24,0,0,0
24,1,25,9.0
24,2,0,24
25,0,0,0
25,1,26,8.0
25,2,0,24
26,0,0,0
26,1,27,8.0
26,2,0,24
27,0,0,0
27,1,28,7.0
27,2,0,24
28,0,0,0
28,1,29,7.0
28,2,0,24
29,0,0,0
29,1,30,6.0
29,2,0,24
30,0,0,0
30,1,31,10.0
30,2,0,24
31,0,0,0
31,1,32,10.0
31,2,0,24
34,0,0,0
34,1,35,11.0
34,2,0,24
39,0,0,0
39,1,40,11.0
39,2,0,24
40,0,0,0
40,1,41,8.0
40,2,0,24
42,0,0,0
42,1,43,12.0
42,2,0,24
43,0,0,0
43,1,44,11.0
43,2,0,24
44,0,0,0
44,1,45,11.0
44,2,0,24
45,0,0,0
45,1,46,8.0
45,2,0,24
47,0,0,0
47,1,48,9.0
47,2,0,24
48,0,0,0
48,1,49,12.0
48,2,0,24
49,0,0,0
49,1,50,10.0
49,2,0,24
50,0,0,0
50,1,51,13.0
50,2,0,24
51,0,0,0
51,1,52,9.0
51,2,0,24
54,0,0,0
54,1,55,6.0
54,2,0,24
56,0,0,0
56,1,57,9.0
56,2,0,24
59,0,0,0
59,1,60,6.0
59,2,0,24
60,0,0,0
60,1,61,10.0
60,2,0,24
61,0,0,0
61,1,62,6.0
61,2,0,24
62,0,0,0
62,1,63,9.0
62,2,0,24
64,0,0,0
64,1,65,9.0
64,2,0,24
65,0,0,0
65,1,66,7.0
65,2,0,24
66,0,0,0
66,1,67,7.0
66,2,0,24
67,0,0,0
67,1,68,8.0
67,2,0,24
68,0,0,0
68,1,69,12.0
68,2,0,24
69,0,0,0
69,1,70,11.0
69,2,0,24
70,0,0,0
70,1,71,12.0
70,2,0,24
71,0,0,0
71,1,72,10.0
71,2,0,24
72,0,0,0
72,1,73,7.0
72,2,0,24
73,0,0,0
73,1,74,11.0
73,2,0,24
74,0,0,0
74,1,75,10.0
74,2,0,24
75,0,0,0
75,1,76,6.0
75,2,0,24
76,0,0,0
76,1,77,8.0
76,2,0,24
78,0,0,0
78,1,79,7.0
78,2,0,24
79,0,0,0
79,1,80,9.0
79,2,0,24
80,0,0,0
80,1,81,11.0
80,2,0,24
81,0,0,0
81,1,82,11.0
81,2,0,24
83,0,0,0
83,1,84,9.0
83,2,0,24
84,0,0,0
84,1,85,13.0
84,2,0,24
85,0,0,0
85,1,86,12.0
85,2,0,24
86,0,0,0
86,1,87,6.0
86,2,0,24
88,0,0,0
88,1,89,10.0
88,2,0,24
89,0,0,0
89,1,90,7.0
89,2,0,24
90,0,0,0
90,1,91,9.0
90,2,0,24
93,0,0,0
93,1,94,11.0
93,2,0,24
95,0,0,0
95,1,96,7.0
95,2,0,24
96,0,0,0
96,1,97,12.0
96,2,0,24
97,0,0,0
97,1,98,9.0
97,2,0,24
101,0,0,0
101,1,12,8.0
101,2,38,12.0
101,3,93,12.864259054340987
101,4,47,13.656907676704847
101,5,34,15.559441723528288
101,6,0,24
103,0,0,0
103,1,18,6.0
103,2,6,8.0
103,3,92,9.0
103,4,5,19.0
103,5,88,20.0
103,6,33,21.0
103,7,0,24
104,0,0,0
104,1,37,11.0
104,2,42,11.981175502438198
104,3,36,12.1303951483039
104,4,64,13.0
104,5,0,24
105,0,0,0
105,1,17,6.0
105,2,54,8.0
105,3,99,10.0
105,4,93,12.864259054340966
105,5,47,17.09746595317657
105,6,34,19.0
105,7,0,24
108,0,0,0
108,1,9,7.0
108,2,16,8.0
108,3,36,12.0
108,4,13,13.0
108,5,0,24
111,0,0,0
111,1,56,12.0
111,2,5,12.87272463101959
111,3,39,17.84244133145521
111,4,95,19.0
111,5,0,24
113,0,0,0
113,1,58,7.0
113,2,53,9.0
113,3,59,11.0
113,4,10,13.0
113,5,0,24
115,0,0,0
115,1,83,7.0
115,2,78,8.699746925927737
115,3,100,17.0
115,4,39,20.0
115,5,0,24
