idx,stop,node_idx,arrival
0,0,0,0
0,1,1,6.0
0,2,6,10.0
0,3,0,24
2,0,0,0
2,1,19,13.0
2,2,16,13.35880488193117
2,3,20,19.0
2,4,0,24
3,0,0,0
3,1,14,9.0
3,2,11,9.25973305382933
3,3,13,9.62388779941691
3,4,4,14.752840579173434
3,5,15,16.0
3,6,0,24
4,0,0,0
4,1,7,14.227358663747513
4,2,5,16.0
4,3,0,24
6,0,0,0
6,1,12,8.0
6,2,9,17.362896860272343
6,3,0,24
7,0,0,0
7,1,17,11.0
7,2,2,12.0
7,3,8,13.665769049083842
7,4,3,15.0
7,5,0,24
8,0,0,0
8,1,10,12.0
8,2,18,12.618713258430375
8,3,0,24
