idx,stop,node_idx,arrival
0,0,0,0
0,1,28,13.0
0,2,30,13.178016578705439
0,3,4,13.92010334693018
0,4,11,14.185969595563563
0,5,0,24
1,0,0,0
1,1,1,12.0
1,2,14,12.087630731073869
1,3,8,12.250373507176377
1,4,0,24
4,0,0,0
4,1,18,6.0
4,2,2,12.0
4,3,17,16.32206874489855
4,4,6,17.0
4,5,0,24
5,0,0,0
5,1,9,10.0
5,2,21,13.0
5,3,20,19.0
5,4,0,24
6,0,0,0
6,1,16,10.0
6,2,5,13.0
6,3,26,19.0
6,4,0,24
7,0,0,0
7,1,13,6.0
7,2,29,13.0
7,3,10,14.323112229899301
7,4,0,24
8,0,0,0
8,1,7,7.0
8,2,22,9.0
8,3,12,18.0
8,4,0,24
10,0,0,0
10,1,15,13.0
10,2,19,17.0
10,3,0,24
11,0,0,0
11,1,3,8.0
11,2,25,14.0
11,3,0,24
14,0,0,0
14,1,27,6.0
14,2,23,6.134955510822268
14,3,24,15.0
14,4,0,24
