idx,stop,node_idx,arrival
0,0,0,0
0,1,1,6.0
0,2,0,24
4,0,0,0
4,1,5,8.0
4,2,0,24
5,0,0,0
5,1,6,10.0
5,2,0,24
6,0,0,0
6,1,7,9.0
6,2,0,24
7,0,0,0
7,1,8,10.0
7,2,0,24
8,0,0,0
8,1,9,11.0
8,2,0,24
9,0,0,0
9,1,10,12.0
9,2,0,24
15,0,0,0
15,1,16,7.0
15,2,0,24
17,0,0,0
17,1,18,9.0
17,2,0,24
19,0,0,0
19,1,20,11.0
19,2,0,24
22,0,0,0
22,1,13,6.0
22,2,14,9.0
22,3,15,10.217527897602096
22,4,19,13.0
22,5,2,14.842196993219698
22,6,17,15.37010434800225
22,7,0,24
33,0,0,0
33,1,4,9.0
33,2,11,9.652922155223866
33,3,3,10.696428290934303
33,4,12,11.104837779408044
33,5,0,24
