idx,stop,node_idx,arrival
2,0,0,0
2,1,3,10.0
2,2,0,24
3,0,0,0
3,1,4,11.0
3,2,0,24
8,0,0,0
8,1,9,12.0
8,2,0,24
17,0,0,0
17,1,18,11.0
17,2,0,24
18,0,0,0
18,1,19,6.0
18,2,0,24
19,0,0,0
19,1,20,12.0
19,2,0,24
20,0,0,0
20,1,21,13.0
20,2,0,24
25,0,0,0
25,1,26,7.0
25,2,0,24
26,0,0,0
26,1,27,12.0
26,2,0,24
28,0,0,0
28,1,29,11.0
28,2,0,24
30,0,0,0
30,1,31,8.0
30,2,0,24
33,0,0,0
33,1,34,6.0
33,2,0,24
34,0,0,0
34,1,35,12.0
34,2,0,24
35,0,0,0
35,1,36,10.0
35,2,0,24
36,0,0,0
36,1,37,11.0
36,2,0,24
46,0,0,0
46,1,47,7.0
46,2,0,24
49,0,0,0
49,1,50,13.0
49,2,0,24
51,0,0,0
51,1,52,11.0
51,2,0,24
55,0,0,0
55,1,56,8.0
55,2,0,24
56,0,0,0
56,1,57,9.0
56,2,0,24
58,0,0,0
58,1,59,9.0
58,2,0,24
60,0,0,0
60,1,61,7.0
60,2,0,24
61,0,0,0
61,1,62,11.0
61,2,0,24
63,0,0,0
63,1,64,8.0
63,2,0,24
65,0,0,0
65,1,66,6.0
65,2,0,24
66,0,0,0
66,1,67,6.0
66,2,0,24
67,0,0,0
67,1,68,11.0
67,2,0,24
69,0,0,0
69,1,70,11.0
69,2,0,24
72,0,0,0
72,1,17,7.0
72,2,44,8.771100254779274
72,3,16,11.0
72,4,0,24
75,0,0,0
75,1,53,6.0
75,2,8,8.0
75,3,1,9.105222089024863
75,4,48,11.388692129875675
75,5,12,12.39975261069619
75,6,0,24
76,0,0,0
76,1,58,6.0
76,2,15,9.0
76,3,65,9.532485419534392
76,4,2,13.0
76,5,0,24
80,0,0,0
80,1,58,6.0
80,2,43,6.52179860111989
80,3,13,12.0
80,4,39,17.0
80,5,0,24
84,0,0,0
84,1,39,9.0
84,2,5,10.491494363134134
84,3,49,11.0
84,4,41,16.0
84,5,0,24
86,0,0,0
86,1,10,6.0
86,2,30,8.0
86,3,6,12.0
86,4,28,12.895621405280906
86,5,0,24
89,0,0,0
89,1,46,6.0
89,2,55,12.0
89,3,51,18.0
89,4,0,24
92,0,0,0
92,1,11,8.0
92,2,63,10.81080253503442
92,3,32,11.567768831508712
92,4,0,24
96,0,0,0
96,1,45,12.0
96,2,38,12.823033289441511
96,3,0,24
99,0,0,0
99,1,55,12.0
99,2,60,12.91612629471273
99,3,69,13.721015892212282
99,4,33,14.277513723973552
99,5,0,24
100,0,0,0
100,1,42,6.0
100,2,40,10.0
100,3,69,11.537982771657777
100,4,0,24
103,0,0,0
103,1,14,8.0
103,2,28,12.0
103,3,32,17.8293966384622
103,4,23,18.0
103,5,0,24
106,0,0,0
106,1,24,8.0
106,2,54,12.0
106,3,25,13.0
106,4,0,24
108,0,0,0
108,1,8,8.0
108,2,7,9.0
108,3,22,12.04746119197619
108,4,2,18.183287507216857
108,5,0,24
