idx,stop,node_idx,arrival
1,0,0,0
1,1,3,12.315390758282774
1,2,18,12.679512565366075
1,3,10,13.29822582379645
1,4,0,24
2,0,0,0
2,1,19,13.0
2,2,16,13.358804881931174
2,3,20,19.0
2,4,0,24
3,0,0,0
3,1,4,9.0
3,2,15,10.247159420826566
3,3,1,14.0
3,4,0,24
6,0,0,0
6,1,12,8.0
6,2,9,19.0
6,3,0,24
7,0,0,0
7,1,17,11.0
7,2,2,12.0
7,3,5,16.0
7,4,0,24
8,0,0,0
8,1,8,10.0
8,2,7,17.0
8,3,0,24
9,0,0,0
9,1,13,7.216825931133025
9,2,11,7.580980676720619
9,3,14,9.0
9,4,6,10.0
9,5,0,24
