idx,stop,node_idx,arrival
2,0,0,0
2,1,3,6.0
2,2,0,24
7,0,0,0
7,1,8,6.0
7,2,0,24
11,0,0,0
11,1,12,8.0
11,2,0,24
16,0,0,0
16,1,17,13.0
16,2,0,24
23,0,0,0
23,1,24,7.0
23,2,0,24
25,0,0,0
25,1,26,10.0
25,2,0,24
29,0,0,0
29,1,30,11.0
29,2,0,24
30,0,0,0
30,1,31,12.0
30,2,0,24
33,0,0,0
33,1,34,12.0
33,2,0,24
34,0,0,0
34,1,35,13.0
34,2,0,24
40,0,0,0
40,1,9,12.0
40,2,27,14.0
40,3,32,15.0
40,4,25,17.0
40,5,16,18.354662974578332
40,6,6,19.341388606079814
40,7,38,20.378367663166784
40,8,0,24
50,0,0,0
50,1,20,8.0
50,2,21,12.034712375253278
50,3,40,14.0
50,4,7,15.495836951580271
50,5,0,24
57,0,0,0
57,1,13,10.0
57,2,28,11.994621540243791
57,3,18,13.563796765106918
57,4,1,14.512984610907015
57,5,0,24
60,0,0,0
60,1,39,8.0
60,2,18,8.44517365573827
60,3,11,13.0
60,4,0,24
64,0,0,0
64,1,2,8.0
64,2,29,10.0
64,3,4,12.0
64,4,5,12.533494727950607
64,5,0,24
74,0,0,0
74,1,36,7.0
74,2,33,12.0
74,3,27,12.59380033296025
74,4,14,13.901755714123631
74,5,0,24
79,0,0,0
79,1,15,7.0
79,2,25,9.094079978176154
79,3,19,19.384827935866326
79,4,22,20.0
79,5,0,24
80,0,0,0
80,1,38,13.0
80,2,23,13.437982615090185
80,3,37,15.0
80,4,10,16.445222279536242
80,5,0,24
