idx,stop,node_idx,arrival
6,0,0,0
6,1,7,9.0
6,2,0,24
29,0,0,0
29,1,12,8.0
29,2,3,8.40840948847374
29,3,4,10.007956491116712
29,4,11,10.660878646340578
29,5,0,24
36,0,0,0
36,1,2,12.0
36,2,8,18.0
36,3,20,19.0
36,4,0,24
45,0,0,0
45,1,5,12.025605091705689
45,2,16,12.64119511806883
45,3,19,13.0
45,4,0,24
55,0,0,0
55,1,18,9.0
55,2,17,11.0
55,3,13,13.000032287301508
55,4,11,13.364187032889102
55,5,0,24
59,0,0,0
59,1,15,8.0
59,2,9,11.0
59,3,10,12.0
59,4,0,24
90,0,0,0
90,1,1,6.0
90,2,14,9.0
90,3,6,18.0
90,4,0,24
