idx,stop,node_idx,arrival
0,0,0,0
0,1,4,12.0
0,2,20,13.36627307557521
0,3,9,13.765241112520965
0,4,21,19.0
0,5,0,24
1,0,0,0
1,1,31,12.0
1,2,19,12.458455626085016
1,3,14,12.994167224347443
1,4,0,24
5,0,0,0
5,1,13,10.0
5,2,3,14.0
5,3,33,14.10910694350337
5,4,0,24
7,0,0,0
7,1,12,8.0
7,2,34,17.728509729551668
7,3,5,18.0
7,4,0,24
9,0,0,0
9,1,26,10.0
9,2,23,19.0
9,3,38,21.0
9,4,0,24
11,0,0,0
11,1,39,8.0
11,2,18,8.445173655738273
11,3,6,13.0
11,4,40,14.0
11,5,0,24
12,0,0,0
12,1,10,11.0
12,2,15,11.180948150609055
12,3,35,15.243964394150058
12,4,0,24
15,0,0,0
15,1,27,6.0
15,2,25,9.374467009717279
15,3,28,15.583447016222792
15,4,17,18.739669241097644
15,5,0,24
16,0,0,0
16,1,7,11.0
16,2,36,11.447730045107779
16,3,8,14.0
16,4,0,24
17,0,0,0
17,1,11,13.0
17,2,16,13.781969350575515
17,3,37,14.397805924211433
17,4,2,16.0
17,5,0,24
18,0,0,0
18,1,24,7.0
18,2,22,17.852708771628386
18,3,29,18.0
18,4,0,24
20,0,0,0
20,1,30,11.0
20,2,1,11.39139831258251
20,3,32,15.0
20,4,0,24
