idx,stop,node_idx,arrival
1,0,0,0
1,1,24,8.0
1,2,44,9.221772325150177
1,3,18,19.0
1,4,0,24
2,0,0,0
2,1,67,6.0
2,2,14,8.0
2,3,28,20.0
2,4,0,24
3,0,0,0
3,1,5,8.0
3,2,49,11.0
3,3,54,12.0
3,4,0,24
5,0,0,0
5,1,46,6.0
5,2,45,20.0
5,3,0,24
6,0,0,0
6,1,58,6.0
6,2,0,24
8,0,0,0
8,1,27,12.0
8,2,21,13.0
8,3,12,19.0
8,4,0,24
10,0,0,0
10,1,47,7.0
10,2,65,9.0
10,3,6,12.0
10,4,0,24
12,0,0,0
12,1,66,6.0
12,2,4,19.0
12,3,0,24
15,0,0,0
15,1,69,10.106837961334026
15,2,60,12.0
15,3,32,18.0
15,4,0,24
16,0,0,0
16,1,41,8.0
16,2,39,9.491494363134137
16,3,53,14.0
16,4,8,16.0
16,5,0,24
17,0,0,0
17,1,36,10.0
17,2,0,24
18,0,0,0
18,1,10,6.0
18,2,40,18.0
18,3,50,21.0
18,4,0,24
21,0,0,0
21,1,57,9.0
21,2,62,19.0
21,3,0,24
22,0,0,0
22,1,61,7.0
22,2,22,8.0
22,3,23,10.0
22,4,38,11.113623389278416
22,5,0,24
23,0,0,0
23,1,56,8.0
23,2,34,14.0
23,3,0,24
25,0,0,0
25,1,52,11.0
25,2,42,14.0
25,3,0,24
26,0,0,0
26,1,20,12.0
26,2,37,19.0
26,3,0,24
27,0,0,0
27,1,19,6.0
27,2,63,7.0886889163157285
27,3,70,19.0
27,4,0,24
28,0,0,0
28,1,64,8.0
28,2,15,9.0
28,3,9,12.0
28,4,0,24
29,0,0,0
29,1,43,6.0
29,2,55,12.0
29,3,35,20.0
29,4,0,24
30,0,0,0
30,1,30,8.0
30,2,11,9.408378284054546
30,3,2,21.0
30,4,0,24
31,0,0,0
31,1,59,9.0
31,2,51,10.0
31,3,7,11.597407765158323
31,4,0,24
32,0,0,0
32,1,31,8.0
32,2,3,10.0
32,3,16,11.0
32,4,0,24
33,0,0,0
33,1,33,10.0
33,2,26,15.0
33,3,68,19.0
33,4,0,24
34,0,0,0
34,1,13,12.0
34,2,1,15.716529959149188
34,3,29,19.0
34,4,0,24
35,0,0,0
35,1,17,15.0
35,2,48,18.0
35,3,25,21.0
35,4,0,24
