idx,stop,node_idx,arrival
1,0,0,0
1,1,2,9.0
1,2,0,24
4,0,0,0
4,1,5,6.0
4,2,0,24
8,0,0,0
8,1,9,7.0
8,2,0,24
11,0,0,0
11,1,12,13.0
11,2,0,24
14,0,0,0
14,1,15,8.0
14,2,0,24
19,0,0,0
19,1,20,8.0
19,2,0,24
32,0,0,0
32,1,33,13.0
32,2,0,24
39,0,0,0
39,1,40,7.0
39,2,0,24
41,0,0,0
41,1,42,10.0
41,2,0,24
75,0,0,0
75,1,38,11.0
75,2,25,13.514522981548815
75,3,3,13.678704018668512
75,4,30,13.995186926027717
75,5,0,24
76,0,0,0
76,1,24,11.0
76,2,28,11.9991169574058
76,3,34,12.89763308313271
76,4,10,13.475168799810014
76,5,18,15.775693365145244
76,6,45,17.0
76,7,7,21.0
76,8,0,24
84,0,0,0
84,1,6,10.773272991764497
84,2,44,11.782424670753041
84,3,8,12.74367932922198
84,4,29,14.0
84,5,0,24
91,0,0,0
91,1,45,9.0
91,2,23,11.0
91,3,32,13.0
91,4,31,16.0
91,5,0,24
95,0,0,0
95,1,37,9.28522138276497
95,2,21,10.0
95,3,28,11.933775884978296
95,4,16,13.0
95,5,11,13.127868358910593
95,6,0,24
99,0,0,0
99,1,35,10.308036767877983
99,2,39,11.0
99,3,43,12.648336743880296
99,4,0,24
102,0,0,0
102,1,36,12.53086732632384
102,2,17,14.572131355679065
102,3,13,16.226939836583544
102,4,1,17.0
102,5,0,24
105,0,0,0
105,1,26,7.0
105,2,27,10.0
105,3,36,11.098647584752719
105,4,7,13.0
105,5,0,24
112,0,0,0
112,1,19,8.0
112,2,22,10.0
112,3,41,12.0
112,4,0,24
117,0,0,0
117,1,4,6.0
117,2,14,11.0
117,3,3,12.0
117,4,0,24
