idx,stop,node_idx,arrival
0,0,0,0
0,1,15,10.0
0,2,2,11.396753762919303
0,3,5,13.0
0,4,0,24
1,0,0,0
1,1,22,18.0
1,2,0,24
3,0,0,0
3,1,18,15.773633280411783
3,2,21,16.0
3,3,8,17.827320081694953
3,4,6,18.0
3,5,0,24
5,0,0,0
5,1,14,8.0
5,2,13,13.0
5,3,24,14.67708934432665
5,4,11,15.0
5,5,0,24
7,0,0,0
7,1,7,12.762766961550568
7,2,25,14.0
7,3,4,15.204010495037974
7,4,0,24
8,0,0,0
8,1,20,8.0
8,2,1,13.0
8,3,17,13.726376092385529
8,4,12,14.18560944391556
8,5,0,24
10,0,0,0
10,1,3,7.000000000000007
10,2,10,8.0
10,3,23,21.0
10,4,0,24
11,0,0,0
11,1,16,10.021540869351298
11,2,19,13.647651200951136
11,3,9,14.0
11,4,0,24
