idx,stop,node_idx,arrival
2,0,0,0
2,1,3,10.0
2,2,0,24
3,0,0,0
3,1,4,11.0
3,2,0,24
5,0,0,0
5,1,6,12.0
5,2,0,24
6,0,0,0
6,1,7,9.0
6,2,0,24
8,0,0,0
8,1,9,12.0
8,2,0,24
10,0,0,0
10,1,11,8.0
10,2,0,24
13,0,0,0
13,1,14,8.0
13,2,0,24
16,0,0,0
16,1,17,7.0
16,2,0,24
17,0,0,0
17,1,18,11.0
17,2,0,24
18,0,0,0
18,1,19,6.0
18,2,0,24
19,0,0,0
19,1,20,12.0
19,2,0,24
20,0,0,0
20,1,21,13.0
20,2,0,24
21,0,0,0
21,1,22,8.0
21,2,0,24
24,0,0,0
24,1,25,13.0
24,2,0,24
25,0,0,0
25,1,26,7.0
25,2,0,24
26,0,0,0
26,1,27,12.0
26,2,0,24
28,0,0,0
28,1,29,11.0
28,2,0,24
30,0,0,0
30,1,31,8.0
30,2,0,24
31,0,0,0
31,1,32,10.0
31,2,0,24
32,0,0,0
32,1,33,10.0
32,2,0,24
33,0,0,0
33,1,34,6.0
33,2,0,24
34,0,0,0
34,1,35,12.0
34,2,0,24
36,0,0,0
36,1,37,11.0
36,2,0,24
41,0,0,0
41,1,42,6.0
41,2,0,24
44,0,0,0
44,1,45,12.0
44,2,0,24
45,0,0,0
45,1,46,6.0
45,2,0,24
46,0,0,0
46,1,47,7.0
46,2,0,24
48,0,0,0
48,1,49,11.0
48,2,0,24
49,0,0,0
49,1,50,13.0
49,2,0,24
50,0,0,0
50,1,51,10.0
50,2,0,24
51,0,0,0
51,1,52,11.0
51,2,0,24
52,0,0,0
52,1,53,6.0
52,2,0,24
53,0,0,0
53,1,54,12.0
53,2,0,24
54,0,0,0
54,1,55,12.0
54,2,0,24
55,0,0,0
55,1,56,8.0
55,2,0,24
56,0,0,0
56,1,57,9.0
56,2,0,24
58,0,0,0
58,1,59,9.0
58,2,0,24
60,0,0,0
60,1,61,7.0
60,2,0,24
61,0,0,0
61,1,62,11.0
61,2,0,24
63,0,0,0
63,1,64,8.0
63,2,0,24
65,0,0,0
65,1,66,6.0
65,2,0,24
66,0,0,0
66,1,67,6.0
66,2,0,24
67,0,0,0
67,1,68,11.0
67,2,0,24
70,0,0,0
70,1,43,6.0
70,2,1,8.0
70,3,15,9.0
70,4,40,10.0
70,5,44,12.689978356336834
70,6,39,13.346098523091175
70,7,0,24
71,0,0,0
71,1,38,6.0
71,2,30,8.0
71,3,44,8.771100254779274
71,4,23,10.0
71,5,16,11.0
71,6,0,24
74,0,0,0
74,1,63,6.0
74,2,5,8.0
74,3,23,10.0
74,4,48,11.388692129875675
74,5,12,12.39975261069619
74,6,0,24
76,0,0,0
76,1,58,6.0
76,2,15,9.0
76,3,65,9.532485419534392
76,4,2,13.0
76,5,0,24
82,0,0,0
82,1,36,10.0
82,2,24,11.282035989565415
82,3,70,17.62030676319088
82,4,0,24
85,0,0,0
85,1,36,10.0
85,2,69,11.140875330523265
85,3,13,16.784744448415445
85,4,0,24
88,0,0,0
88,1,10,6.0
88,2,8,8.0
88,3,28,12.0
88,4,41,16.0
88,5,60,20.0
88,6,0,24
